atoken_symbol,atoken_address,atoken_stable_debt_address,atoken_variable_debt_address,atoken_decimals,atoken_version,atoken_created_block
aAAVE,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,0x079d6a3e844bcecf5720478a718edb6575362c5f,0xf7dba49d571745d9d7fcb56225b05bea803ebf3c,18,v2,11367184
aBAL,0x272f97b7a56a387ae942350bbc7df5700f8a4576,0xe569d31590307d05da3812964f1edd551d665a0b,0x13210d4fe0d5402bd7ecbc4b5bc5cfca3b71adb0,18,v2,11779563
aBAT,0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1,0x277f8676facf4daa5a6ea38ba511b7f65aa02f9f,0xfc218a6dfe6901cb34b1a5281fc6f1b8e7e56877,18,v2,11367184
aBUSD,0xa361718326c15715591c299427c62086f69923d9,0x4a7a63909a72d268b1d8a93a9395d098688e0e5c,0xba429f7011c9fa04cdd46a2da24dc0ff0ac6099c,18,v2,11367184
aCRV,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,0x9288059a74f589c919c7cf1db433251cdfeb874b,0x00ad8ebf64f141f1c81e9f8f792d3d1631c6c684,18,v2,11538358
aDAI,0x028171bca77440897b824ca71d1c56cac55b68a3,0x778a13d3eeb110a4f7bb6529f99c000119a08e92,0x6c3c78838c761c6ac7be9f59fe808ea2a6e4379d,18,v2,11367184
aENJ,0xac6df26a590f08dcc95d5a4705ae8abbc88509ef,0x943dcca156b5312aa24c1a08769d67fece4ac14c,0x38995f292a6e31b78203254fe1cdd5ca1010a446,18,v2,11367188
aGUSD,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,0xf8ac64ec6ff8e0028b37eb89772d21865321bce0,0x279af5b99540c1a3a7e3cdd326e19659401ef99e,2,v2,11576861
aKNC,0x39c6b3e42d6a679d7d776778fe880bc9487c2eda,0x9915dfb872778b2890a117da1f35f335eb06b54f,0x6b05d1c608015ccb8e205a690cb86773a96f39f1,18,v2,11367188
aLINK,0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0,0xfb4aec4cc858f2539ebd3d37f2a43eae5b15b98a,0x0b8f12b1788bfde65aa1ca52e3e9f3ba401be16d,18,v2,11367188
aMANA,0xa685a61171bb30d4072b338c80cb7b2c865c873e,0xd86c74ea2224f4b8591560652b50035e4e5c0a3b,0x0a68976301e46ca6ce7410db28883e309ea0d352,18,v2,11367188
aMKR,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,0xc01c8e4b12a89456a9fd4e4e75b72546bf53f0b5,0xba728ead5e496be00dcf66f650b6d7758ecb50f8,18,v2,11367197
aREN,0xcc12abe4ff81c9378d670de1b57f8e0dd228d77a,0x3356ec1efa75d9d150da1ec7d944d9edf73703b7,0xcd9d82d33bd737de215cdac57fe2f7f04df77fe0,18,v2,11367197
aSNX,0x35f6b052c598d933d69a4eec4d04c73a191fe6c2,0x8575c8ae70bdb71606a53aea1c6789cb0fbf3166,0x267eb8cf715455517f9bd5834aeae3cea1ebdbd8,18,v2,11367197
aSUSD,0x6c5024cd4f8a59110119c56f8933403a539555eb,0x30b0f7324fedf89d8eff397275f8983397efe4af,0xdc6a3ab17299d9c2a412b0e0a4c1f55446ae0817,18,v2,11367197
aTUSD,0x101cc05f4a51c0319f570d5e146a8c625198e636,0x7f38d60d94652072b2c44a18c0e14a481ec3c0dd,0x01c0eb1f8c6f1c1bf74ae028697ce7aa2a8b0e92,18,v2,11367200
aUNI,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,0xd939f7430dc8d5a427f156de1012a56c18acb6aa,0x5bdb050a92cadccfcdcccbfc17204a1c9cc0ab73,18,v2,11362823
aUSDC,0xbcca60bb61934080951369a648fb03df4f96263c,0xe4922afab0bbadd8ab2a88e0c79d884ad337fca6,0x619beb58998ed2278e08620f97007e1116d5d25b,6,v2,11367200
aUSDT,0x3ed3b47dd13ec9a98b44e6204a523e766b225811,0xe91d55ab2240594855abd11b3faae801fd4c4687,0x531842cebbdd378f8ee36d171d6cc9c4fcf475ec,6,v2,11362821
aWBTC,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,0x51b039b9afe64b78758f8ef091211b5387ea717c,0x9c39809dec7f95f5e0713634a4d0701329b3b4d2,8,v2,11362821
aWETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,0x4e977830ba4bd783c0bb7f15d3e243f73ff57121,0xf63b34710400cad3e044cffdcab00a0f32e33ecf,18,v2,11362821
aXSUSHI,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,0x73bfb81d7dba75c904f430ea8bae82db0d41187b,0xfafedf95e21184e3d880bd56d4806c4b8d31c69a,18,v2,11857246
aYFI,0x5165d24277cd063f5ac44efd447b27025e888f37,0xca823f78c2dd38993284bb42ba9b14152082f7bd,0x7ebd09022be45ad993baa1cec61166fcc8644d97,18,v2,11362821
aZRX,0xdf7ff54aacacbff42dfe29dd6144a69b629f8c9e,0x071b4323a24e73a5afeebe34118cd21b8faaf7c3,0x85791d117a392097590bded3bd5abb8d5a20491a,18,v2,11362823
aFRAX,0xd4937682df3c8aef4fe912a96a74121c0829e664,0x3916e3b6c84b161df1b2733dffc9569a1da710c2,0xfe8f19b17ffef0fdbfe2671f248903055afaa8ca,18,v2,13207481
aETH,0x3a3a65aab0dd2a17e3f1947ba16138cd37d08c04,,,18,v1,9241088
aDAI,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,,,18,v1,9241063
aUSDC,0x9ba00d6856a4edf4665bca2c2309936572473b7e,,,6,v1,9241071
aSUSD,0x625ae63000f46200499120b906716420bd059240,,,18,v1,9241077
aTUSD,0x4da9b813057d04baef4e5800e36083717b4a0341,,,18,v1,9241068
aUSDT,0x71fc860f7d3a592a4a98740e39db31d25db65ae8,,,6,v1,9241076
aBUSD,0x6ee0f7bb50a54ab5253da0667b0dc2ee526c30a8,,,18,v1,9747321
aBAT,0xe1ba0fb44ccb0d11b80f92f4f8ed94ca3ff51d00,,,18,v1,9241085
aENJ,0x712db54daa836b53ef1ecbb9c6ba3b9efb073f40,,,18,v1,10471941
aKNC,0x9d91be44c06d373a8a226e1f3b146956083803eb,,,18,v1,9241097
aAAVE,0xba3d9687cf50fe253cd2e1cfeede1d6787344ed5,,,18,v1,11093579
aLINK,0xa64bd6c70cb9051f6a9ba1f163fdc07e0dfb5f84,,,18,v1,9241091
aMANA,0x6fce4a401b6b80ace52baaefe4421bd188e76f6f,,,18,v1,9241110
aMKR,0x7deb5e830be29f91e298ba5ff1356bb7f8146998,,,18,v1,9241106
aREN,0x69948cc03f478b95283f7dbf1ce764d0fc7ec54c,,,18,v1,10472062
aREP,0x71010a9d003445ac60c4e6a7017c1e89a477b438,,,18,v1,9241100
aSNX,0x328c4c80bc7aca0834db37e6600a6c49e12da4de,,,18,v1,9241118
aUNI,0xb124541127a0a657f056d9dd06188c4f1b0e5aab,,,18,v1,11132284
aWBTC,0xfc4b8ed459e00e5400be803a9bb3954234fd50e3,,,8,v1,9241225
aYFI,0x12e51e77daaa58aa0e9247db7510ea4b46f9bead,,,18,v1,10748286
aZRX,0x6fb0855c404e09c47c3fbca25f08d4e41f9f062f,,,18,v1,9241114
aLEND,0x7d2d3688df45ce7c552e19c27e007673da9204b8,,,18,v1,9241081
aAmmWETH,0xf9fb4ad91812b704ba883b11d2b576e890a6730a,0x118ee405c6be8f9ba7cc7a98064eb5da462235cf,0xa4c273d9a0c1fe2674f0e845160d6232768a3064,18,amm,11998921
aAmmDAI,0x79be75ffc64dd58e66787e4eae470c8a1fd08ba4,0x8da51a5a3129343468a63a96ccae1ff1352a3dfe,0x3f4fa4937e72991367dc32687bc3278f095e7eaa,18,amm,11998921
aAmmUSDC,0xd24946147829deaa935be2ad85a3291dbf109c80,0xe5971a8a741892f3b3ac3e9c94d02588190ce220,0xcfdc74b97b69319683fec2a4ef95c4ab739f1b12,18,amm,11998921
aAmmUSDT,0x17a79792fe6fe5c95dfe95fe3fcee3caf4fe4cb7,0x04a0577a89e1b9e8f6c87ee26cce6a168fffc5b5,0xdcfe9bfc246b02da384de757464a35efca402797,18,amm,11998921
aAmmWBTC,0x13b2f6928d7204328b0e8e4bcd0379aa06ea21fa,0x55e575d092c934503d7635a837584e2900e01d2b,0x3b99fdafdfe70d65101a4ba8cdc35dafbd26375f,18,amm,11998925
aAmmUniDAIWETH,0x9303eabc860a743aabcc3a1629014cabcc3f8d36,0xe9562bf0a11315a1e39f9182f446ea58002f010e,0x23bcc861b989762275165d08b127911f09c71628,18,amm,11998925
