atoken_symbol,atoken_address,atoken_stable_debt_address,atoken_variable_debt_address,atoken_decimals,atoken_version,atoken_created_block,underlying_symbol,underlying_address,underlying_decimals,atoken_name,underlying_name
aAAVE,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,0x079d6a3e844bcecf5720478a718edb6575362c5f,0xf7dba49d571745d9d7fcb56225b05bea803ebf3c,18,v2,11367184,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18,Aave interest bearing AAVE,Aave Token
aBAL,0x272f97b7a56a387ae942350bbc7df5700f8a4576,0xe569d31590307d05da3812964f1edd551d665a0b,0x13210d4fe0d5402bd7ecbc4b5bc5cfca3b71adb0,18,v2,11779563,BAL,0xba100000625a3754423978a60c9317c58a424e3d,18,Aave interest bearing BAL,Balancer
aBAT,0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1,0x277f8676facf4daa5a6ea38ba511b7f65aa02f9f,0xfc218a6dfe6901cb34b1a5281fc6f1b8e7e56877,18,v2,11367184,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18,Aave interest bearing BAT,Basic Attention Token
aBUSD,0xa361718326c15715591c299427c62086f69923d9,0x4a7a63909a72d268b1d8a93a9395d098688e0e5c,0xba429f7011c9fa04cdd46a2da24dc0ff0ac6099c,18,v2,11367184,BUSD,0x4fabb145d64652a948d72533023f6e7a623c7c53,18,Aave interest bearing BUSD,Binance USD
aCRV,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,0x9288059a74f589c919c7cf1db433251cdfeb874b,0x00ad8ebf64f141f1c81e9f8f792d3d1631c6c684,18,v2,11538358,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,18,Aave interest bearing CRV,Curve DAO Token
aDAI,0x028171bca77440897b824ca71d1c56cac55b68a3,0x778a13d3eeb110a4f7bb6529f99c000119a08e92,0x6c3c78838c761c6ac7be9f59fe808ea2a6e4379d,18,v2,11367184,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18,Aave interest bearing DAI,Dai Stablecoin
aENJ,0xac6df26a590f08dcc95d5a4705ae8abbc88509ef,0x943dcca156b5312aa24c1a08769d67fece4ac14c,0x38995f292a6e31b78203254fe1cdd5ca1010a446,18,v2,11367188,ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,18,Aave interest bearing ENJ,Enjin Coin
aGUSD,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,0xf8ac64ec6ff8e0028b37eb89772d21865321bce0,0x279af5b99540c1a3a7e3cdd326e19659401ef99e,2,v2,11576861,GUSD,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,2,Aave interest bearing GUSD,Gemini dollar
aKNC,0x39c6b3e42d6a679d7d776778fe880bc9487c2eda,0x9915dfb872778b2890a117da1f35f335eb06b54f,0x6b05d1c608015ccb8e205a690cb86773a96f39f1,18,v2,11367188,KNC,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,18,Aave interest bearing KNC,Kyber Network Crystal
aLINK,0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0,0xfb4aec4cc858f2539ebd3d37f2a43eae5b15b98a,0x0b8f12b1788bfde65aa1ca52e3e9f3ba401be16d,18,v2,11367188,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18,Aave interest bearing LINK,ChainLink Token
aMANA,0xa685a61171bb30d4072b338c80cb7b2c865c873e,0xd86c74ea2224f4b8591560652b50035e4e5c0a3b,0x0a68976301e46ca6ce7410db28883e309ea0d352,18,v2,11367188,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18,Aave interest bearing MANA,Decentraland MANA
