FEED_NAME,FEED_ADDRESS,FEED_CATEGORY,FEED_ADDED,CREATED_BLOCK_NUMBER
NU / ETH,0xfd93c391f3a81565dae1f6a66115c26f36a92d6d,Cryptocurrency (ETH pairs),5-May-21,12367432
ZAR / USD,0x438f81d95761d7036cd2617295827d9d01cf593f,Foreign Exchange,4-May-21,12369662
1INCH / USD,0xc929ad75b72593967de83e7f7cda0493458261d9,Cryptocurrency (USD pairs),1-Apr-21,12143562
HIGH / USD,0xe2f95bc12fe8a3c35684be7586c39fd7c0e5b403,Cryptocurrency (USD pairs),-,14481450
AXS / ETH,0x8b4fc5b68cd50eac1dd33f695901624a4a1a0a8b,Cryptocurrency (ETH pairs),31-Aug-21,13135535
LTC / USD,0x6af09df7563c363b5763b9102712ebed3b9e859b,Cryptocurrency (USD pairs),21-Aug-20,10705596
SNX / USD,0xdc3ea94cd0ac27d9a86c180091e7f78c683d3699,Cryptocurrency (USD pairs),21-Aug-20,10705631
FRAX / USD,0xb9e1e3a9feff48998e45fa90847ed4d467e8bcfd,Stablecoins,6-Aug-21,12974035
MATIC / USD,0x7bac85a8a13a4bcd8abb3eb7d6b4d632c5a57676,Cryptocurrency (USD pairs),15-Dec-20,11434645
FIL / ETH,0x0606be69451b1c9861ac6b3626b99093b713e801,Cryptocurrency (ETH pairs),4-Mar-21,11966190
BNB / USD,0x14e613ac84a31f709eadbdf89c6cc390fdc9540a,Cryptocurrency (USD pairs),21-Aug-20,10705573
DASH / USD,0xfb0cadfea136e9e343cfb55b863a6df8348ab912,Cryptocurrency (USD pairs),21-Aug-20,10705582
UMA / ETH,0xf817b69ea583caff291e287cae00ea329d22765c,Cryptocurrency (ETH pairs),11-Nov-20,11200729
BIT / USD,0x7b33ebfa52f215a30fad5a71b3fee57a4831f1f0,Cryptocurrency (USD pairs),-,13941713
DAI / ETH,0x773616e4d11a78f511299002da57a0a94577f1f4,Stablecoins,23-Dec-19,10606425
HUSD / ETH,0x1b61bad1495161bcb6c03ddb0e41622c0270bb1a,Stablecoins,13-Apr-21,12233420
MASK / USD,0xe66aca0cbab601ca933acce6ba3eb8d9c0a13bd7,Cryptocurrency (USD pairs),22-Sep-21,13264107
