POOL_ADDRESS,TOKEN_ADDRESS,TOKEN_INDEX,TOKEN_SYMBOL,TOKEN_DECIMALS,TOKEN_NAME,POOL_NAME,POOL_ID,_INSERTED_TIMESTAMP
0x04b727c7e246ca70d496ecf52e6b6280f3c8077d,0xff709449528b6fb6b88f557f7d93dece33bca78d,0,ApeUSD,18,ApeUSD,Curve.fi Pool: ApeUSD-crvFRAX ,0x04b727c7e246ca70d496ecf52e6b6280f3c8077d0xff709449528b6fb6b88f557f7d93dece33bca78d,2022-09-27T16:44:04Z
0x1977870a4c18a728c19dd4eb6542451df06e0a4b,0xff709449528b6fb6b88f557f7d93dece33bca78d,0,ApeUSD,18,ApeUSD,Curve.fi Pool: ApeUSD-FRAX ,0x1977870a4c18a728c19dd4eb6542451df06e0a4b0xff709449528b6fb6b88f557f7d93dece33bca78d,2022-09-27T16:44:04Z
0x21d158d95c2e150e144c36fc64e3653b8d6c6267,0xfeef77d3f69374f66429c91d732a244f074bdf74,0,cvxFXS,18,Convex FXS,Curve.fi Pool: cvxFXS-crvFRAX ,0x21d158d95c2e150e144c36fc64e3653b8d6c62670xfeef77d3f69374f66429c91d732a244f074bdf74,2022-09-27T16:44:04Z
0xd658a338613198204dca1143ac3f01a722b5d94a,0xfeef77d3f69374f66429c91d732a244f074bdf74,1,cvxFXS,18,Convex FXS,Curve.fi Pool: FXS-cvxFXS ,0xd658a338613198204dca1143ac3f01a722b5d94a0xfeef77d3f69374f66429c91d732a244f074bdf74,2022-09-27T16:44:04Z
0x9ca41a2dab3cee15308998868ca644e2e3be5c59,0xfe32747d0251ba92bcb80b6d16c8257ecf25ab1c,0,dfxCAD,18,dfxCAD,Curve.fi Pool: dfxCAD-CADC ,0x9ca41a2dab3cee15308998868ca644e2e3be5c590xfe32747d0251ba92bcb80b6d16c8257ecf25ab1c,2022-09-27T16:44:04Z
0xd1011b637f979a5d9093df1b32e7736c289024f5,0xfe2e637202056d30016725477c5da089ab0a043a,0,sETH2,18,StakeWise Staked ETH2,Curve.fi Pool: sETH2-stETH ,0xd1011b637f979a5d9093df1b32e7736c289024f50xfe2e637202056d30016725477c5da089ab0a043a,2022-09-27T16:44:04Z
0xe95e4c2dac312f31dc605533d5a4d0af42579308,0xfe2e637202056d30016725477c5da089ab0a043a,0,sETH2,18,StakeWise Staked ETH2,Curve.fi Pool: sETH2-stETH ,0xe95e4c2dac312f31dc605533d5a4d0af425793080xfe2e637202056d30016725477c5da089ab0a043a,2022-09-27T16:44:04Z
0xf253f83aca21aabd2a20553ae0bf7f65c755a07f,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,1,sBTC,18,Synth sBTC,Curve.fi Pool: WBTC-sBTC ,0xf253f83aca21aabd2a20553ae0bf7f65c755a07f0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2022-12-03T00:25:21Z
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2,sBTC,18,Synth sBTC,Curve.fi Pool: renBTC-WBTC-sBTC ,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a97140xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2040-01-01T00:00:00Z
0x6d0bd8365e2fcd0c2acf7d218f629a319b6c9d47,0xfd8e70e83e399307db3978d3f34b060a06792c36,0,waBTC,8,Wasabi BTC,Curve.fi Pool: waBTC-crvRenWSBTC ,0x6d0bd8365e2fcd0c2acf7d218f629a319b6c9d470xfd8e70e83e399307db3978d3f34b060a06792c36,2022-09-27T16:44:04Z
