name,chainId,shortName
Ethereum Mainnet,1,eth
Expanse Network,2,exp
Ropsten,3,rop
Rinkeby,4,rin
Goerli,5,gor
Ethereum Classic Testnet Kotti,6,kot
ThaiChain,7,tch
Ubiq,8,ubq
Ubiq Network Testnet,9,tubq
Optimism,10,oeth
Metadium Mainnet,11,meta
Metadium Testnet,12,kal
Diode Testnet Staging,13,dstg
Flare Mainnet,14,flr
Diode Prenet,15,diode
Flare Testnet Coston,16,cflr
ThaiChain 2.0 ThaiFi,17,tfi
ThunderCore Testnet,18,TST
Songbird Canary-Network,19,sgb
Elastos Smart Chain,20,esc
Elastos Smart Chain Testnet,21,esct
ELA-DID-Sidechain Mainnet,22,eladid
ELA-DID-Sidechain Testnet,23,eladidt
KardiaChain Mainnet,24,kardiachain
Cronos Mainnet Beta,25,cro
Genesis L1 testnet,26,L1test
ShibaChain,27,shib
Boba Network Rinkeby Testnet,28,BobaRinkeby
Genesis L1,29,L1
RSK Mainnet,30,rsk
RSK Testnet,31,trsk
GoodData Testnet,32,GooDT
GoodData Mainnet,33,GooD
Dithereum Testnet,34,dth
TBWG Chain,35,tbwg
Dxchain Mainnet,36,dx
SeedCoin-Network,37,SEED
Valorbit,38,val
Telos EVM Mainnet,40,TelosEVM
Telos EVM Testnet,41,TelosEVMTestnet
Kovan,42,kov
Darwinia Pangolin Testnet,43,pangolin
Darwinia Crab Network,44,crab
Darwinia Pangoro Testnet,45,pangoro
Darwinia Network,46,darwinia
Ennothem Mainnet Proterozoic,48,etmp
Ennothem Testnet Pioneer,49,etmpTest
XinFin XDC Network,50,xdc
XDC Apothem Network,51,txdc
CoinEx Smart Chain Mainnet,52,cet
CoinEx Smart Chain Testnet,53,tcet
Openpiece Mainnet,54,OP
Zyx Mainnet,55,ZYX
Binance Smart Chain Mainnet,56,bnb
Syscoin Mainnet,57,sys
Ontology Mainnet,58,OntologyMainnet
EOS Mainnet,59,EOSMainnet
GoChain,60,go
Ethereum Classic Mainnet,61,etc
Ethereum Classic Testnet Morden,62,tetc
Ethereum Classic Testnet Mordor,63,metc
Ellaism,64,ellaism
OKExChain Testnet,65,tokt
OKXChain Mainnet,66,okt
DBChain Testnet,67,dbm
SoterOne Mainnet,68,SO1
Optimism Kovan,69,okov
Hoo Smart Chain,70,hsc
Conflux eSpace (Testnet),71,cfxtest
DxChain Testnet,72,dxc
FNCY,73,FNCY
IDChain Mainnet,74,idchain
Mix,76,mix
POA Network Sokol,77,spoa
PrimusChain mainnet,78,primuschain
Zenith Mainnet,79,zenith
GeneChain,80,GeneChain
Zenith Testnet (Vilnius),81,VIL
Meter Mainnet,82,Meter
Meter Testnet,83,MeterTest
GateChain Testnet,85,gttest
GateChain Mainnet,86,gt
