synth_symbol,synth_proxy_address,decimals
iAAVE,0x176c674ee533c6139b0dc8b458d72a93dcb3e705,18
iADA,0x8a8079c7149b8a1611e5c5d978dca3be16545f83,18
iBCH,0xf6e9b246319ea30e8c2fa2d1540aaebf6f9e1b89,18
iBNB,0xafd870f32ce54efdbf677466b612bf8ad164454b,18
iBTC,0xd6014ea05bde904448b743833ddf07c3c7837481,18
iCEX,0x336213e1ddfc69f4701fc3f86f4ef4a160c1159d,18
iDASH,0xcb98f42221b2c251a4e74a1609722ee09f0cc08e,18
iDEFI,0x14d10003807ac60d07bb0ba82caeac8d2087c157,18
iDOT,0x46a97629c9c1f58de6ec18c7f536e7e6d6a6ecde,18
iEOS,0xf4eebdd0704021ef2a6bbe993fdf93030cd784b4,18
iETC,0xd50c1746d835d2770dda3703b69187bffeb14126,18
iETH,0xa9859874e1743a32409f75bb11549892138bba1e,18
iLINK,0x2d7ac061fc3db53c39fe1607fb8cec1b2c162b01,18
iLTC,0x79da1431150c9b82d2e5dfc1c68b33216846851e,18
iMKR,0x0794d09be5395f69534ff8151d72613077148b29,18
iOIL,0xa5a5df41883cdc00c4ccc6e8097130535399d9a3,18
iREN,0x0fed38108bdb8e62ef7b5680e8e0726e2f29e0de,18
iTRX,0xc5807183a9661a533cb08cbc297594a0b864dc12,18
iUNI,0x36a00ff9072570ef4b9292117850b8fe08d96cce,18
iXMR,0x4adf728e2df4945082cdd6053869f51278fae196,18
iXRP,0x27269b3e45a4d3e79a3d6bfee0c8fb13d0d711a6,18
iXTZ,0x8deef89058090ac5655a99eeb451a4f9183d1678,18
iYFI,0x592244301cea952d6dab2fdc1fe6bd9e53917306,18
s1INCH,0xcd39b5434a0a92cf47d1f567a7df84be356814f0,18
sAAPL,0x7537aae01f3b218dae75e10d952473823f961b87,18
sAAVE,0xd2df355c19471c8bd7d8a3aa27ff4e26a21b4076,18
sADA,0xe36e2d3c7c34281fa3bc737950a68571736880a1,18
sAMZN,0x9cf7e61853ea30a41b02169391b393b901eac457,18
sAUD,0xf48e200eaf9906362bb1442fca31e0835773b8b4,18
sBCH,0x36a2422a863d5b950882190ff5433e513413343a,18
sBNB,0x617aecb6137b5108d1e7d4918e3725c8cebdb848,18
sBTC,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,18
sCEX,0xeabacd844a196d7faf3ce596edebf9900341b420,18
sCHF,0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d,18
sCOIN,0x9eef4ca7ab9fa8bc0650127341c2d3f707a40f8a,18
sCOMP,0xeb029507d3e043dd6c87f2917c4e82b902c35618,18
sCRV,0xd38aeb759891882e78e957c80656572503d8c1b1,18
sDASH,0xfe33ae95a9f0da8a845af33516edc240dcd711d6,18
sDEFI,0xe1afe1fd76fd88f78cbf599ea1846231b8ba3b6b,18
sDOT,0x1715ac0743102bf5cd58efbb6cf2dc2685d967b6,18
sEOS,0x88c8cf3a212c0369698d13fe98fcb76620389841,18
sETC,0x22602469d704bffb0936c7a7cfcd18f7aa269375,18
sETH,0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb,18
sETHBTC,0x104edf1da359506548bfc7c25ba1e28c16a70235,18
sEUR,0xd71ecff9342a5ced620049e616c5035f1db98620,18
sFB,0xf50b5e535f62a56a9bd2d8e2434204e726c027fa,18
sFTSE,0x23348160d7f5aca21195df2b70f28fce2b0be9fc,18
sGBP,0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f,18
sGOOG,0xc63b8ecce56ab9c46184ec6ab85e4771fea4c8ad,18
sJPY,0xf6b1c627e95bfc3c1b4c9b825a032ff0fbf3e07d,18
sKRW,0x269895a3df4d73b077fc823dd6da1b95f72aaf9b,18
sLINK,0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6,18
sLTC,0xc14103c2141e842e228fbac594579e798616ce7a,18
sMKR,0x4140919de11fce58e654cc6038017af97f810de1,18
sMSFT,0x745a824d6abbd236aa794b5530062778a6ad7523,18
sNFLX,0x5a7e3c07604eb515c16b36cd51906a65f021f609,18
sNIKKEI,0x757de3ac6b830a931ef178c6634c5c551773155c,18
sOIL,0x6d16cf3ec5f763d4d99cb0b0b110eefd93b11b56,18
sREN,0xd31533e8d0f3df62060e94b3f1318137bb6e3525,18
sRUNE,0x0352557b007a4aae1511c114409b932f06f9e2f4,18
sTRX,0xf2e08356588ec5cd9e437552da87c0076b4970b0,18
sTSLA,0x918da91ccbc32b7a6a0cc4ecd5987bbab6e31e6d,18
sUNI,0x30635297e450b930f8693297eba160d9e6c8ebcf,18
sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,18
sXAG,0x6a22e5e94388464181578aa7a6b869e00fe27846,18
sXAU,0x261efcdd24cea98652b9700800a13dfbca4103ff,18
sXMR,0x5299d6f7472dcc137d7f3c4bcfbbb514babf341a,18
sXRP,0xa2b0fde6d710e201d0d608e924a484d1a5fed57c,18
sXTZ,0x2e59005c5c0f0a4d77cca82653d48b46322ee5cd,18
sYFI,0x992058b7db08f9734d84485bfbc243c4ee6954a7,18
